BLDG_ID,X,Y,OEM_LABEL,BLDG_ADD,BOROCODE,CITY,CROSS1,CROSS2,ZIP_CODE,ACCESSIBLE,ACC_FEAT
K002,997713.8235,178429.5162,IS 2,655 Parkside Avenue,3,Brooklyn,Nostrand Avenue,Rogers Avenue,11226,N,
K007,1019426.951,190386.9218,PS 7,858 Jamaica Avenue,3,Brooklyn,Hemlock Street,Crescent Street,11208,N,
K024,982990.4523,177111.0736,PS 24,427 38 Street,3,Brooklyn,4 Avenue,5 Avenue,11232,Y,"The main/accessible entrance to this location for sheltering purposes is 427 38th Street, Brooklyn (Between Fourth Avenue and Fifth Avenue)"
K055,1008310.527,185023.5559,IS 55,2021 Bergen Street,3,Brooklyn,Thomas Boyland Street,Rockaway Avenue,11233,N,
K145,1003025.703,194842.9627,PS 145,100 Noll Street,3,Brooklyn,Central Avenue,Evergreen Avenue,11206,N,
K226,990579.359,163428.1574,PS 226,6006 23 Avenue,3,Brooklyn,60 Street,61 Street,11204,N,
K227,985420.5642,165809.0979,IS 227,6500 16 Avenue,3,Brooklyn,66 Street,65 Street,11204,N,
K249,993548.9069,175984.5155,PS 249,18 Marlborough Road,3,Brooklyn,Caton Avenue,Church Avenue,11226,N,
K313,987481.2488,192349.9277,Adams Street Educational Campus,283 Adams Street,3,Brooklyn,Johnson Street,Willoughby Street,11201,N,
K324,1003004.909,189918.0904,IS 324,800 Gates Avenue,3,Brooklyn,Stuyvesant Avenue,Malcom X Boulevard,11221,N,
K327,1008739.732,182642.6882,PS 327,111 Bristol Street,3,Brooklyn,Pitkin Avenue,Sutter Avenue,11212,N,
K331,977440.7935,170060.757,PS - IS 30,7002 4 Avenue,3,Brooklyn,Ovington Avenue,72 Street,11209,Y,"The main/accessible entrance to this location for sheltering purposes is 7002 4th Avenue, Brooklyn (Close to the intersection with Ovington Avenue)"
K383,1006630.729,193475.3716,IS 383,1300 Greene Avenue,3,Brooklyn,Knickerbocker Avenue,Wilson Avenue,11237,N,
K391,1001883.727,180491.9963,IS 391,790 East New York Avenue,3,Brooklyn,Troy Avenue,Schenectady Avenue,11203,N,
K430,990783.5932,190282.4961,Brooklyn Tech HS,29 Ft Greene Place,3,Brooklyn,DeKalb Avenue,Lafayette Avenue,11217,Y,"The main/accessible entrance to this location for sheltering purposes is on S. Elliott Place, Brooklyn (Between Dekalb Avenue and Lafayette Avenue)"
K460,990160.0587,183123.9885,John Jay Educational Campus,237 7th Avenue,3,Brooklyn,4 Street,5 Street,11215,N,
K600,994959.8198,182962.1263,Clara Barton HS,901 Classon Avenue,3,Brooklyn,President Street,Carroll Street,11225,N,
